date,id,title,label,opportunity,source,author,description,content,link,nurl
2021-11-23,a1586723,Tech manager exits Swedish group to join hedge fund,Portfolio manager change,Displacement opportunity,Citywire,,Sector stalwart brought on board to run investment mandate which will sit within wider multi-strategy effort.,"Swedish hedge fund group Brummer & Partners has hired technology-focused fund manager Henrik Nyblom to run a dedicated investment mandate.
Nyblom, who has 25 years of investment experience, will work on the new project, which will be open to investors in the Brummer Multi-Strategy (BMS) fund.
He was most recently at Swedish investment house Swedbank Robur, where had overseen its tech-focused Ny Teknik fund. He had overseen that fund since 2019 when Johan Soderstrom departed, who subsequently joined French fund house Sycomore Asset Management.
Brummer said Nyblom's new mandate is expected to launch during the spring of 2022. It will be market neutral and take long and short positions in technology companies with a focus on the Nordic region and Europe. BMS expects an initial allocation of $175m to the new investment mandate.
Kerim Celebi, portfolio manager at Brummer, said: 'We believe that the Nordic/European tech sector will have many winners and losers for a long time to come.
'Henrik Nyblom has solid experience in this sector and good conditions to generate alpha over time in many different market scenarios. With his mandate, initially exclusive to our investors, Henrik Nyblom will further improve the diversification in BMS' portfolio.'
The Swedbank Ny Teknik sits in the top 10 in the Equity - Nordic sector for its three-year total returns. It delivered a 136.4% return in euro terms over this period, while the average fund in this 72-strong sector returned 82.4% over the same period.",https://citywireselector.com/news/tech-manager-exits-swedish-group-to-join-hedge-fund/a1586723?re=91518&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,5
2021-11-24,a1586871,AA-rated L/S credit manager drops $1.2bn fund and exits Muzinich,Portfolio manager change,Displacement opportunity,Citywire,Chris Sloley,"Fund manager moves to focus on investing private capital, Citywire Selector has learned.","Brian Lieberman has left Muzinich & Co after seven years with the group, relinquishing control of the Muzinich Long Short Credit Yield fund, Citywire Selector has learned.
Lieberman, who is based in New York, joined the boutique in 2014 from JP Morgan and initially started as a credit analyst. He assumed responsibility for the Alternative Ucits strategy at the start of 2018, which now has $1.2bn (EUR1.07bn) in assets under management.
A spokesperson for Muzinich & Co confirmed Lieberman's departure and said he was now managing private money. According to LinkedIn, Lieberman joined New York-based group Point72 at the start of November as a long/short credit portfolio manager.
In his stead, Greg Temo has become lead portfolio manager on the Muzinich Long Short Credit Yield fund alongside Eddie Yu and Hillel Olshin. The spokesperson said there was no change to the investment process and Liebermann helped with the transition process.
The fund returned 13.6% in euro terms over the three years to the end of October 2021, versus an average 7.6% from the Alt Ucits - Bond Strategies sector.",https://citywireselector.com/news/aa-rated-l-or-s-credit-manager-drops-1-2bn-fund-and-exits-muzinich/a1586871?re=91518&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,2
2021-11-24,a1587007,"Best-selling climate funds not curtailing carbon exposure, study claims",Negative press,Displacement opportunity,Citywire,Siri Christiansen,Research into EuropeaEUR(tm)s most popular strategies indicates that only a small number are delivering when it comes to carbon reduction.,"Less than half of the top-selling European climate funds have a consistently lower carbon exposure than the MSCI World index.
That is according to recent analysis of the seven most popular strategies among European fund buyers, carried out by portfolio analytics, reporting and data provider Investment Metrics and shared with Citywire Selector.
Only two of the six active funds - the CPR Invest Climate Action and BNP Paribas Climate Impact funds - have a lower exposure to carbon than the MSCI World index, which is neither ESG-specific nor low-carbon.
The passive Amundi Index MSCI Global Climate Change ETF offers the least carbon exposure out of the group, with approximately half that of the MSCI World index.
Meanwhile, the actively managed LO Funds Climate Transition fund has more than double the exposure.
The findings reflect that climate funds tend to favour investments in firms that are part of the long-term transition to a lower carbon economy, said Investment Metrics.
But the stark difference is only one of a wide range of variables in environmental approaches, sector exposure, fundamental factors and performance between climate funds.
The disparities in investment practices in climate funds has widened significantly since last year, according to Damian Handzy, Investment Metrics' head of research.
'That range is only going to get bigger. As more money flows in, funds need to differentiate themselves and therefore the range of investment approaches widens,' Handzy told Citywire Selector.
'The bottom line is that an investor must look under the hood of funds to understand what they're getting and what they're exposed to.'
The evaluation included the following funds: BNP Paribas Climate Impact; DWS Invest ESG Climate Tech; CPR Invest Climate Action; Franklin Templeton Global Climate Change; LO Funds Climate Transition; Candriam Sustainable Equity Climate Action; and the passive Amundi Index MSCI Global Climate Change ETF fund.",https://citywireselector.com/news/best-selling-climate-funds-not-curtailing-carbon-exposure-study-claims/a1587007?re=91518&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,3
2021-11-26,a1588564,Berenberg launches Europe ex-UK fund for AAA-rated CIO,Launch of new products,Threat,Citywire,,German group expands its footprint of European equity offering with new strategy.,"Berenberg Wealth and Asset Management has further expanded its European equity fund range with a third strategy for its chief investment officer, Matthias Born.
The Berenberg Europe ex-UK fund, which is Luxembourg-domiciled, will employ the group's long-term quality growth strategy, which underpins all its existing European equity funds, namely the European Focus and Eurozone Focus funds.
Born will focus on companies with high-growth potential, unique selling points and sustainable business models while also incorporating a robust ESG screening process for stock selection.
It will operate as a concentrated portfolio of 40 all-cap stocks and single out market-leading European companies. Berenberg gave the examples of Dutch company ASML, German semiconductor specialist Infineon and food-delivery-kit start-up HelloFresh as the types of stocks it would follow.
Born, who is also head of equities at Berenberg Wealth and Asset Management, said the strategy would capitalise on the fact there are several European companies whose unique products and capabilities are not replicated by companies from any other region and cannot be found elsewhere, including in the US.
Born also aims to uncover under-researched areas of the market, namely within small caps, which will see him use fellow former Allianz Global Investors' fund manager Peter Kraus and his team's knowledge.
Born said: 'European equities are a dynamic space to be in if you know where to look. Some might say Europe is an old continent and the market leaders and high-growth companies of tomorrow are to be found in Silicon Valley or China.
'In stock picking, our aim is always to find companies with a distinct proposition that will sustain growth over the long-term, regardless of market shocks. In addition, we are well aware of the strong returns to be had from judicious stock picking in the small-cap space and the Europe ex-UK fund will enjoy the support of our dedicated small-cap team.
'Over the long term, research suggests small caps do outperform large caps but the large caps we have chosen in the existing funds have nevertheless outpaced the small-cap benchmarks, so we aim for a blend of company sizes.'",https://citywireselector.com/news/berenberg-launches-europe-ex-uk-fund-for-aaa-rated-cio/a1588564?re=91513&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,4
2021-11-30,a1590017,Mirabaud AM launches small- and mid-cap global converts strategy,Launch of new products,Threat,Citywire,,"Swiss group targets previously overlooked part of the fixed income market, with a fund it claims is one of the first of its kind.","Mirabaud Asset Management has launched a global convertible bonds strategy focused on small- and mid-cap issuers, the Swiss group has announced.
Nicolas Cremieux, co-head of convertibles, will oversee the new strategy, believed to be one of the first of its kind.
It aims to provide investors with convexity on a permanent basis, while also displaying a high active share.
Cremieux said: 'The convertible bonds asset class is currently in the sweet spot, as companies look to capitalise on the historically low-rate environment to support growth plans.
'We saw record levels of convertible bond issuance in 2020, and 2021 is on course to match this level. As the compelling potential of convertible bonds increasingly appeals to clients, our new strategy is perfectly placed to capture many of the exciting opportunities on offer in the space.'
The strategy also reflects the manager's unconstrained approach across sectors and regions, alongside a significant position in off-benchmark opportunities.
It consists of about 50 positions, with Cremieux and his team pursuing convertible issuers below $5bn (Ie4.4bn) in size within a few high growth sectors which enjoy lower default rates and display strong liquidity profiles, like healthcare and technology.
Like Mirabaud's other convertible bond offerings, the newly launched strategy has a fully ESG integrated process and is classified as Article 8 under Sustainable Finance Disclosure Regulation.
Mirabaud's convertible bonds team, which oversees $1bn assets, consists of five Paris-based sector specialists, with more than six decades of combined experience in the sector.",https://citywireselector.com/news/mirabaud-am-launches-small-and-mid-cap-global-converts-strategy/a1590017?re=91750&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,1
2021-12-01,a1590418,Vanguard taps Baillie Gifford and Wellington for new China fund,Launch of new products,Threat,Citywire,,The fund is expected to launch in early 2022 with an expense ratio of 0.73% for its cheapest share class.,"Vanguard is planning to launch a new active Chinese equity fund in early 2022, according to a filing with the Securities and Exchange Commission.
The Vanguard China Select Stock fund will be subadvised by Wellington Management and Baillie Gifford, both of which are regular subadvisers for the $8.4tn (EUR7.4tn) Pennsylvania-based asset manager.
Baillie Gifford's sleeve of the fund will be run by Sophie Earnshaw and Mike Gush. Bo Meunier will oversee Wellington's portion of the fund.
The fund will invest in onshore and offshore China equities and will have an expense ratio of 0.73% for its Admiral shares class. That rises to 0.83% for the fund's Investor shares.
'Vanguard research indicates that there is an opportunity for talented active managers to generate alpha in China's large, but inefficient, equity market,' said Kaitlyn Caughlin, head of Vanguard's portfolio review department.
Vanguard's decision to launch a China fund is 'a big deal' because the asset manager has previously focused on regional funds rather than single-country strategies, said Dan Wiener, chairman of Adviser Investments and editor of the Independent Adviser for Vanguard Investors newsletter.
Wiener said the language Vanguard used in announcing the fund's launch was also noteworthy.
'What's most interesting is the focus on risk and alpha and performance in their press release,' he said.
The Vanguard release says that 'both [Wellington Management and Baillie Gifford] have deep portfolio management experience and expertise in China and a track record of outperformance in Chinese equity markets.'
Wiener said: 'They don't usually talk about a manager's ""track record of outperformance"" nor focus so much on generating alpha. The fact that they are going active rather than passive also speaks to going ""all in"", in my view.'
Vanguard does not have any other such single-country emerging markets funds, but it does offer strategies with wider exposure to China. These include two index offerings: the $78.3bn Vanguard Emerging Markets Stock Index fund and the $5.6bn Vanguard Pacific Stock Index fund, and the actively managed $974.4bn Vanguard Emerging Markets Select Stock fund. The latter fund is also subadvised by Wellington and Baillie Gifford, as well as Oaktree Capital Management and Pzena Investment Management.
Of the managers running the new China fund, only Gush is also named on the wider Emerging Markets fund too.
He and Earnshaw also run the Baillie Gifford China Equities fund, launched in July, alongside Roderick Snell.
Vanguard's decision to launch a standalone China fund comes during a difficult year for the country's market, which was rocked by a government clampdown on the technology sector and high-profile problems at its second-largest real estate developer, Evergrande, which has struggled to make interest payments on loans and flirted with insolvency.
The MSCI China index is down 17.9% this year to Friday 26 November, led by tech giants Baidu, Alibaba, and Tencent, which have fallen 29%, 42.7%, and 17.3%, respectively.",https://citywireselector.com/news/vanguard-taps-baillie-gifford-and-wellington-for-new-china-fund/a1590418?re=91748&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,7
2021-12-02,a1590797,Lazard AM hires two sustainability PMs from Candriam,Portfolio manager change,Displacement opportunity,Citywire,Chris Sloley,US group expands sustainable investment coverage with portfolio manager hires.,"Lazard Asset Management has expanded its sustainability investment arm with the appointment of two fund managers, including Candriam's head of SRI European equity, Koen Popleu (pictured).
The duo of Popleu and Monika Kumar, who was also at Candriam, join the New York-based company as portfolio managers and will work alongside the group's existing co-heads of sustainable investment and ESG.
The pair have a combined investment experience of more than 30 years and will be based in Belgium. As part of their new remit they will build out a team focused on investing in themes that support a more sustainable economy.
Their first strategy is expected to be made available in 2022 and will focus on the implications and opportunities arising from climate change.
Nikita Singhal, co-head of sustainable investment and ESG at Lazard AM, said: 'The transition to a more sustainable global economy is creating opportunities and risks for investors. These hires support our goal to integrate these considerations into every strategy at LAM while offering sustainability-focused investment solutions.'
The pair had jointly managed the Candriam Climate Action Strategy and Candriam Circular Economy strategies. Popleu had been head of the SRI European equity team, and Kumar served as a global thematic equity analyst and a European Equity research analyst.
Lazard AM said the moves come as part of wider push to add sustainable investment specialists over the course of 2021. This included hiring Elly Irving as director of stewardship and Robert Wall as head of sustainable private infrastructure earlier this year.
The company said the expansion supports it sustainable investment growth strategy and further embeds sustainable investment expertise across key areas of the business, including research into climate science and the energy transition, stewardship, ESG data and analytics, and client service.",https://citywireselector.com/news/lazard-am-hires-two-sustainability-pms-from-candriam/a1590797?re=91746&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,1
2021-12-02,a1590720,Abrdn adds to sustainable investing with EM debt fund,Launch of new products,Threat,Citywire,,"The new strategy, classified as Article 9, will be focused on companies contributing to the UNaEUR(tm)s 17 Sustainable Development Goals.","Abrdn has launched the Emerging Markets Sustainable Development Corporate Bond fund, which will sit within its sustainable development range.
The Article 9-compliant fund, will focus on debt from companies that positively contribute to the UN's 17 Sustainable Development Goals (SDGs). These cover climate change, growing social inequality, and unsustainable production and consumption.
The fund will be overseen by Abrdn's head of emerging market corporate debt Siddharth Dahiya (pictured), who is Citywire + rated, as well as investment director Samuel Bevan and Kevin Craig, who is part of the emerging market debt team.
The strategy launches with $10m (EUR8.8m) in seed capital and will have more than 50 holdings spread across emerging market corporate and frontier sovereign bonds. As the portfolio grows, Abrdn expects the strategy to become more diversified, targeting between 90-120 issuers.
Needs are especially acute in financial inclusion, food security and access to healthcare, as well as in basic infrastructure and climate change mitigation and adaptation, the company said, citing the UN Conference on Trade and Development.
'This new strategy is among the first in the EMD marketplace to have a sustainable investment objective, complementing Abrdn's already established Article 9 fund range and broadening the pool of our sustainable investment products on offer to our clients,' Dahiya said.",https://citywireselector.com/news/abrdn-launches-em-debt-fund-focused-on-sdgs/a1590720?re=91746&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,1
2021-12-02,a1591265,UBS AM hires head of sustainable investing,Changes in the Investment Team,Displacement opportunity,Citywire,,The new recruit will reinforce the firmaEUR(tm)s sustainability and impact strategy.,"UBS Asset Management has hired Lucy Thomas as head of sustainable investing, the firm has announced.
She will be responsible for developing the company's sustainability and impact strategy.
As part of her role Thomas will report to Barry Gill, head of investments for UBS AM.
Her predecessor was Christopher Greenwald, who has decided to leave the firm. Prior to Greenwald the position was held by Michael Baldinger, who was promoted to chief sustainability officer of the group in May this year to lead sustainable investment projects and activities at the company.
Thomas has 20 years' experience and joins from TCorp, the financial markets partner of the New South Wales government in Australia, where she was head of investment stewardship.
Prior to that, she was global head of sustainable investment at Willis Towers Watson and started her career as an analyst on the graduate programme at Morgan Stanley.
Gill said: 'During her 20-year career, Lucy has worked as an asset owner, asset manager, and asset adviser and brings extensive experience working with clients and leading the integration of sustainability factors into the investment process globally.'",https://citywireselector.com/news/ubs-am-hires-sustainable-investment-head-as-predecessor-exits/a1591265?re=91743&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,1
2021-12-07,a1593108,Liontrust buys Majedie for EUR140m,News at organisational level,Displacement opportunity,Citywire,,"The deal will see LiontrustaEUR(tm)s AUM boosted to a,!49bn","Liontrust has agreed to buy Majedie Asset Management for a total consideration of EUR140m (PS120m) in an effort to grow its presence in the institutional market.
Majedie's assets under management (AUM) were EUR6.8bn (PS5.8bn) at the end of November, and the deal will boost Liontrust's AUM to EUR49bn (PS42.3bn).
The consideration includes the issue of up to PS97m in new ordinary shares of 1p each, and up to EUR27m (PS23m) in cash to Majedie shareholders.
The shares issued to Majedie shareholders will be subject to a staggered three-year lock-up from the date of issue, with one third released at one year, two years and three years after issuance, subject to certain exemptions.
Majedie chief executive Rob Harris will join Liontrust as head of its global institutional business.
All of Majedie's investment team will join Liontrust as the global fundamental team, and James de Uphaugh will become head of that team.
The Liontrust brand will be used for all Majedie funds on completion of the deal.
Liontrust chief executive John Ions (pictured), said: 'Majedie is an important acquisition for Liontrust because of its strong presence and reputation in the institutional market. Liontrust has been increasing its number of institutional clients and the purchase of Majedie will hasten this expansion by enhancing our investment capability and client service credentials.
'We have been very impressed by the Majedie investment management team. It has an experienced team with a robust investment process that is reflected in its excellent long-term performance. This is demonstrated by the quality of Majedie's institutional mandates and the fact it was appointed by The Edinburgh Investment Trust in 2020.'",https://citywireselector.com/news/liontrust-buys-majedie-for-140m/a1593108?re=91972&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,2
2021-12-13,a1595553,Mediolanum hires A-rated PM to lead quant team,Portfolio manager change,Displacement opportunity,Citywire,,Outperforming specialist assigned to oversee Irish-based group's new investment unit.,"Mediolanum International Funds has hired Jeremy Humphries for the newly created role of head of quantitative investments.
Humphries, who was most recently with Davy Global Fund Management, will work in Mediolanum's Dublin office and will report to Brian O'Reilly, head of market strategy.
Humphries is ranked 36 out of the 120 fund managers in the Citywire Equity - Global Small & Medium Companies over a three-year period. His solo-managed Davy Strategic Global Quality Equity fund has returned 84.8% over the same period, compared to a Citywire sector average of 49.5%.
The appointment is part of Mediolanum's plan to bring a third of its managed assets under internal control, and more equity professionals are expected to be added to the quantitative team over time.
Brian O' Reilly, head of market strategy at MIFL said: 'Jeremy joins us at an important time for our business as we look to add quantitative strategies to our internal asset management capabilities alongside our active equity and fixed income teams.
'Jeremy brings a lot of experience from highly rated investment houses and will help us build on the assets we already manage in house, which is a strategic priority for the business.'
He brings with him 15 years' industry experience, including a five-year stint at Schroders' Quantitative Equity Products team, and will be responsible for developing and overseeing new quantitative strategies.
The asset management company has over EUR50bn in assets under management as of late September 2021 and offers more than 60 funds.",https://citywireselector.com/news/mediolanum-hires-a-rated-pm-to-lead-quant-team/a1595553?re=92203&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,2
2021-12-13,a1595561,Insight Investment strengthens ESG team with manager hire,Portfolio manager change,Displacement opportunity,Citywire,,Boutique has added a dedicated portfolio manager and a senior stewardship analyst to its broader team.,"Insight Investment has appointed Fabien Collado as ESG portfolio manager and Rhona Cormack as senior stewardship analyst, both joining the firm's PS232.5bn (EUR273bn) fixed income team.
Collado worked for Axa Investment Managers for 12 years, overseeing ESG-integrated strategies. In his new role, the manager will be in charge of ESG mandates and dedicated impact funds.
Meanwhile, Cormack will support the firm's engagement programme, working alongside credit analysts. Previously, she spent five years as a specialist in climate change and sustainability at EY.
'Our engagement not only seeks to confirm that corporates understand the issues, but that they are building practical steps into their firm wide governance to ensure that they address them,' said Lucy Speake, co-head of Fixed Income at Insight.
'We have an active engagement programme which we continuously seek to enhance to improve investment outcomes and better meet client needs.'",https://citywireselector.com/news/insight-investment-strengthens-esg-team-with-manager-hire/a1595561?re=92202&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,1
2021-12-16,a1596482,EdRAM's bond boss steps back from pair of EMD strategies,Portfolio manager change,Displacement opportunity,Citywire,,"Asset manager enacts changes following appointment of portfolio manager and analyst over the summer, Citywire Selector has learned.","Edmond de Rothschild Asset Management's Alain Krief has left his position as back-up manager on two of the firm's emerging markets funds, after just over a year of running the strategies.
A spokesperson for EdRAM told Citywire Selector that the change was prompted by the appointment of Daniela Savoia as emerging sovereign debt portfolio manager and analyst early in August.
Savoia, who is based in Geneva, was put in charge of both the EdRF Emerging Sovereign and EdRF Emerging Bonds funds at the beginning of December.
While strengthening the emerging debt investment platform and participating in the team's decision-making process and investment committee, she reports to senior emerging sovereign debt portfolio Romain Bordenave. The latter has been overseeing both funds since their launch in 2018 and 2019, respectively.
Following the change, Krief will concentrate on both his role as head of fixed income and his responsibility as fund manager of the Millesima funds, which sit within the fixed maturity corporate debt funds' department.
Krief previously worked at Oddo AM, BNP Paribas and Amundi, as well as Credit Lyonnais AM.",https://citywireselector.com/news/edrams-bond-boss-steps-back-from-pair-of-emd-strategies/a1596482?re=92196&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,5
2021-12-16,a2375162,High yield veterans to depart Neuberger Berman,Portfolio manager change,Displacement opportunity,Citywire,Will Schmitt,US group announces senior changes taking effect in the middle of next year.,"A pair of portfolio managers at Neuberger Berman are planning to leave the firm next summer.
Russ Covode and Daniel Doyle will depart on 30 June 2022, and will step off the $1.5bn Neuberger Berman High Income Bond fund by that time, according to a filing with the Securities and Exchange Commission.
The fund will continue to be managed by Joseph Lind and Christopher Kocinski. The latter will join the former as co-head of US high yield at the firm.
Covode and Doyle are also named on two Dublin-domiciled funds, Neuberger Berman High Yield Bond and Neuberger Berman Short Duration High Yield. Lind and Kocinski were also co-managers on these funds.
Doyle will have been with Neuberger Berman for almost a decade when he exits next year, while Covode will have been with the firm for 18 years.
'The team-based approach to portfolio management positions the non-investment grade team to deliver the same continuity of investment process and risk management that has distinguished it for the past two decades,' the firm said in a statement.
This story originally appeared on Citywire Pro Buyer. Additional reporting by Chris Sloley.",https://citywireselector.com/news/high-yield-veterans-to-depart-neuberger-berman/a2375162?re=92196&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,7
2021-12-21,a2375470,Schroders seals EUR419m Greencoat Capital buy,News at organisational level,Displacement opportunity,Citywire,,The fund giant is acquiring a 75% stake in the renewable infrastructure fund firm.,"Schroders has struck a EUR419m (PS358m) deal to buy a 75% stake in sustainable infrastructure fund manager Greencoat Capital Holdings.
Established in 2009, Greencoat is one of Europe's largest renewable infrastructure firms with EUR7.8bn (PS6.7bn) in assets under management.
The firm covers a wide area of infrastructure investing, including wind, solar, bioenergy and heat. It operates nearly 200 power generation assets across the UK, Europe and the US, with an aggregate net generation capacity of over three gigawatts.
Greencoat's investor mandates typically comprise permanent or 25-year capital. It oversees a number of renewable investment companies, including the Greencoat UK Wind and Greencoat Renewables trusts.
According to a regulatory announcement confirming the deal, the firm received EUR1.8bn (PS1.6bn) worth of net inflows in the 12 months to 30 November.
The purchases is part of Schroders' strategy to build a significant private assets platform and bolster its sustainability position and it sees the provision of private capital for energy transition as essential to achieve net zero targets.
With the US and European renewable energy assets forecast to grow by around $1tn to 2030, the fund manager is positioning itself to take advantage of this through the Greencoat acquisition.
'Greencoat is a market-leading, high growth business, with an outstanding management team, which provides access to a large and fast-growing market in high demand among our clients,' Schroders CEO Peter Harrison (pictured) told the market.
'Its culture is an excellent fit with ours and Greencoat's focus aligns very closely to our strategy, continuing our approach of adding capabilities in the most attractive growth segments we can provide to our clients.'
He added: 'We have demonstrated our ability to integrate acquisitions successfully, to generate growth and create significant value for our shareholders. We are confident that we will be able to leverage the strengths of both firms while preserving Greencoat's differentiated position in the market.'
The firm's four founders, Laurence Fumagalli, Bertrand Gautier, Stephen Lilley and Richard Nourse, will remain with the business following the purchase.
'We are all delighted to have found a partner in Schroders who sees the potential of our business and believes deeply in our mission to build a global leader in renewables investing,' Nourse said.
'We are extremely proud of what the brilliant team at Greencoat has together achieved, creating a market-leading renewables asset management firm in the UK and Ireland, a strong platform in Europe and an important expansion into the US.
'Combining this team with Schroders' global distribution network and expertise will enable clients to capitalise on the unequalled opportunity that our sector represents - a trillion dollar investable universe - and the chance to meaningfully support the global transition to net zero.'",https://citywireselector.com/news/schroders-seals-419m-greencoat-capital-buy/a2375470?re=92428&ea=1735690&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,3
2022-01-04,a2375846,Banque de Luxembourg Investments shakes up equity teams,Changes in the Investment Team,Displacement opportunity,Citywire,,"40 Under 40 selector handed expanded role, as long-serving manager switches focus elsewhere.","Banque de Luxembourg Investments (BLI) has announced several management changes on its equity funds, due to come into effect this month.
Annick Drui becomes lead manager on the BL-BL-Sustainable Horizon fund, which she had previously co-run with the fund's long-term manager Joel Reuland. The latter will stay in the investment team as co-manager.
Meanwhile, Reuland will oversee several multi-asset strategies, such as the BL Global 30, BL-Global 50 and BL-Global 75.
He will also step down as lead fund manager of BL Global Equities, to be replaced by Maxime Hoss (pictured), who has been at BLI for almost a decade and featured in the 2020 list for Citywire Selector's 40 Under 40.
Commenting on the BL Sustainable Horizon fund, which is also BLI's flagship global equity socially responsible investing (SRI) product, Drui said it is split into two separate pockets, both with slightly different investment universes and impact profiles.
'The quantitative pocket consists of a more traditional best in class approach, whereby investments have to respect minimum ESG scores for inclusion. As a result of this methodology, we tend to find ourselves with more large-cap companies in the segment,' said Drui.
'The thematic pocket on the other hand, seeks to invest in companies whose business models are at their core best aligned with the United Nations sustainable development goals. Given the vast possible impact areas, this pocket tends to focus on niche companies in a sector, or companies that can be considered as pure ESG players,' she added.
Drui joined the SRI strategists' team almost two years ago and has since contributed to strengthening the SRI equity investment policy and the establishment of an active engagement policy.",https://citywireselector.com/news/banque-de-luxembourg-investments-shakes-up-equity-teams/a2375846?re=92879&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,7
2022-01-07,a2376164,JPM AM to merge veterans' convertible bond funds,Fund merger,Displacement opportunity,Citywire,,"Asset manager streamlines efforts after opportunistic strategy's window of opportunity closes, Citywire Selector has learned.","JPM Asset Management is to merge two convertible bond funds overseen by the veteran fixed income duo of Hart Woodson and Paul Levene, Citywire Selector has learned.
The move will see the JPM Global Opportunistic Convertibles Income fund rolled into the larger JPM Global Convertibles Conservative fund at the start of March. Both strategies are co-run by Woodson and Levene.
A spokesperson added that the intention of the fund was launched in July 2020 to opportunistically invest in bonds trading below par value due to temporary market dislocations.
The intention was to merge this fund into another vehicle once this opportunity reduced, which it believes it now has.
JPM AM has ceased accepting new money into the Opportunistic Convertibles Income fund, with it currently boasting $135m in assets, according to company data.
Meanwhile, the JPM Global Convertibles Conservative fund has $162m in assets under management. This fund has a wider remit to invest in convertible bonds regardless of geography, sector or issuer.
In terms of performance, the JPM Global Conservative Convertibles fund returned 20.5% over the three years to the end of November 2021. This is while the average fund in the Bonds - Global Convertible sector returned 24% over the same period.
This article was updated to reflect the rationale for merging the funds.",https://citywireselector.com/news/jpm-am-to-merge-veterans-convertible-bond-funds/a2376164?re=92872&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,4
2022-01-07,a2376185,AAA-manager exits Swedbank Robur to join Robeco thematics team,Portfolio manager change,Displacement opportunity,Citywire,,Swedish fund house installs AA-rated co-manager as lead on top-performing strategy.,"Natalie Falkman is leaving Swedish fund house Swedbank Robur and will be joining Robeco as a senior portfolio manager.
The Dutch asset manager told Citywire Selector that Falkman will start working in its thematics team as of next week. Her departure was also confirmed by Swedbank.
'Natalie Falkman has decided to take on new challenges outside Swedbank and Swedbank Robur,' said a spokesperson for the firm. 'We thank her warmly for her contribution to Robur and wish her the best of luck with her future endeavours.'
Falkman first made the announcement on LinkedIn, which was first reported by AMWatch. She highlighted how she was stepping down from the firm's Kapitalinvest fund, which she said was one of the best-in-class in its category.
'I am glad that I am able to leave the fund that I have managed for the past five years in good shape,' she wrote on her profile.
The Kapitalinvest strategy, which has SEK60bn (EUR5.8bn) in assets and is registered for sale in Sweden only, will now be overseen by Patric Naeslund, according to the fund's factsheet.
As of January, the fund ranks 30th in Equity - Global Bend sector, with a 100.6% return in US dollar terms over the past three years to the end of November 2021.
Naeslund, who Swedbank's website has as managing the Kapitalinvest fund since November 2021, is also responsible for the company's SEK 87bn (EUR8.45bn) Allemansfond Komplett strategy.",https://citywireselector.com/news/aaa-manager-exits-swedbank-robur-to-join-robeco/a2376185?re=92872&ea=1781405&utm_source=BulkEmail_Global_Daily&utm_medium=BulkEmail_Global_Daily&utm_campaign=BulkEmail_Global_Daily,4
