ID,NOTA_WSW,NOTA_TK,RANK
2001-02,menciono parrafo nota informativa programa monetario directorio banco central modificaria meta operativa politica monetaria si condiciones financieras justificasen,como se menciono en el parrafo [NUM] de la nota informativa programa monetario de [DATE] el directorio del banco central modificaria la meta operativa de la politica monetaria si las condiciones financieras lo justificasen,2
2001-02,tomando cuenta turbulencia incertidumbre mercados financieros factores externos internos mes banco central acordado revisar hacia abajo meta operativa saldo promedio diario cuentas corrientes empresas bancarias mantienen banco central rango promedio diario,tomando en cuenta la turbulencia e incertidumbre de los mercados financieros por factores externos e internos para el mes de [DATE] el banco central ha acordado revisar hacia abajo la meta operativa del saldo promedio diario de las cuentas corrientes que las empresas bancarias mantienen en el banco central a un rango entre [NUM] y [NUM] como promedio diario,3
2001-02,cabe precisar mantiene valores resto variables mencionadas nota informativa programa monetario mes abril,cabe precisar que se mantiene los valores del resto de las variables mencionadas en la nota informativa del programa monetario del mes de abril,4
2001-03,banco central nota informativa programa monetario aumento meta operativa reduccion tasas interes operaciones banco central,banco central nota informativa programa monetario [DATE] aumento de la meta operativa y reduccion de las tasas de interes de las operaciones del banco central,1
2001-03,anuncio informe programa monetario directorio banco central acordo primer viernes cada mes conocer rango meta operativa politica monetaria tal periodo,como se anuncio en el informe del programa monetario para el [DATE] el directorio del banco central acordo que el primer viernes de cada mes se de a conocer el rango para la meta operativa de la politica monetaria de tal periodo,2
2001-03,meta dada saldo promedio diario cuentas corrientes empresas bancarias mantienen banco central,esta meta esta dada por el saldo promedio diario de las cuentas corrientes que las empresas bancarias mantienen en el banco central,3
2001-03,rango meta operativa ubicara promedio diario,para [DATE] el rango de la meta operativa se ubicara entre [NUM] y [NUM] como promedio diario,4
2001-03,saldo mencion dentro rango anunciado dicho mes mayor mes,en [DATE] el saldo en mencion fue de [NUM] dentro del rango anunciado para dicho mes entre [NUM] y [NUM] y mayor al del mes de [DATE] [NUM],5
2001-03,asimismo directorio banco central acordo operaciones moneda nacional realice banco aplicara siguientes tasas interes comision,asimismo el directorio del banco central acordo que para las operaciones en moneda nacional que realice este banco desde el [DATE] se aplicara las siguientes tasas de interes y comision,6
2001-03,creditos regulacion monetaria moneda nacional tasa interes efectiva serala mas alta promedio decil superior tasas interbancarias nivel,para los creditos de regulacion monetaria en moneda nacional la tasa de interes efectiva serala mas alta entre el promedio del decil superior de las tasas interbancarias y el nivel de [NUM],7
2001-03,ultima tasa implica reduccion respecto vigente ultimo,esta ultima tasa implica una reduccion con respecto a la vigente desde el [DATE] ultimo [NUM],8
2001-03,operaciones compra temporal moneda extranjera swap comision sera dia equivale costo efectivo anual ,para las operaciones de compra temporal de moneda extranjera swap la comision sera de [NUM] por dia lo que equivale a un costo efectivo anual de [NUM] ,9
2001-03,aumento meta operativa reduccion tasas interes referencia creditos regulacion monetaria depositoso vernight asi comision operaciones compra temporal moneda extranjera swap explica tendencia decreciente vienen mostrando expectativas inflacion publico presente anio,el aumento en la meta operativa y la reduccion en las tasas de interes de referencia de los creditos de regulacion monetaria y de los depositoso vernight asi como de la comision para las operaciones de compra temporal de moneda extranjera swap se explica por la tendencia decreciente que vienen mostrando las expectativas de inflacion del publico para el presente anio,10
2001-03,tendencia espera continue conduciria nuevos ajustes meta operativa politica monetaria reducciones tasas interes mencionadas,esta tendencia se espera que continue lo cual conduciria a nuevos ajustes en la meta operativa de la politica monetaria y a reducciones de las tasas de interes antes mencionadas,11
2001-03,depositos overnight empresas bancarias banco central sera equivalente promedio ultimo obtiene exterior depositos misma naturaleza,para los depositos overnight de las empresas bancarias en el banco central sera equivalente al promedio que este ultimo obtiene en el exterior por sus depositos de la misma naturaleza,12
2001-04,banco central nota informativa programa monetario banco central baja tasa interes referencia operaciones eleva meta liquidez bancaria,banco central nota informativa programa monetario [DATE] banco central baja tasa de interes de referencia para sus operaciones de [NUM] a [NUM] y eleva la meta de liquidez bancaria en [NUM],1
2001-04,directorio banco central acordo elevar rango meta operativa promedio diario,para [DATE] el directorio del banco central acordo elevar en [NUM] el rango para su meta operativa de [NUM] a [NUM] como promedio diario,2
2001-04,saldo mencion dentro rango anunciado dicho mes,en [DATE] el saldo en mencion fue de [NUM] dentro del rango anunciado para dicho mes entre [NUM] y [NUM],3
2001-04,asimismo directorio banco central acordo operaciones moneda nacional realice aplicara siguientes tasas interes comision,asimismo el directorio del banco central acordo que para las operaciones en moneda nacional que realice desde el [DATE] se aplicara las siguientes tasas de interes y comision,4
2001-04,tasa implica reduccion respecto vigente ultimo,esta tasa implica una reduccion con respecto a la vigente desde el [DATE] ultimo [NUM],5
2001-04,depositos overnight moneda nacional empresas bancarias banco central tasa interes efectiva mantiene,para los depositos overnight en moneda nacional de las empresas bancarias en el banco central la tasa de interes efectiva se mantiene en [NUM],6
2001-04,reduccion tasas interes referencia operaciones moneda nacional banco central banca espera continue tendencia decreciente vienen mostrando tasas interes moneda nacional sistema financiero,con la reduccion en las tasas de interes de referencia para las operaciones en moneda nacional del banco central con la banca se espera que continue la tendencia decreciente que vienen mostrando las tasas de interes en moneda nacional del sistema financiero,7
2001-04,igual opera incremento rango meta operativa politica monetaria,en igual sentido opera el incremento en [NUM] del rango de la meta operativa de la politica monetaria,8
2001-04,cabe precisar tendencia crecimiento precios consumidor muestra primer trimestre evolucion acorde meta,cabe precisar que la tendencia del crecimiento de los precios al consumidor muestra al primer trimestre una evolucion acorde con la meta para el [DATE] [NUM] a [NUM],9
2001-04,tasa inflacion meses influenciada factores transitorios afectaron oferta alimentos revertiran meses siguientes,la tasa de inflacion de [DATE] [NUM] o [NUM] a [NUM] meses estuvo influenciada por factores transitorios que afectaron la oferta de alimentos que se revertiran en [DATE] y en los meses siguientes,10
2001-05,banco central nota informativa programa monetario banco central mantiene tasa interes referencia operaciones moneda nacional establece meta liquidez bancaria,banco central nota informativa programa monetario [DATE] banco central mantiene tasa de interes de referencia para sus operaciones en moneda nacional en [NUM] y establece meta de liquidez bancaria entre [NUM] y [NUM],1
2001-05,asimismo reduce tasa creditos regulacion monetaria moneda extranjera,asimismo se reduce la tasa para los creditos de regulacion monetaria en moneda extranjera de [NUM] a [NUM],2
2001-05,directorio banco central acordo mantener rango meta operativa promedio diario,para [DATE] el directorio del banco central acordo mantener el rango para su meta operativa entre [NUM] y [NUM] como promedio diario,3
2001-05,saldo mencion luego revision hacia abajo rango promedio diario,en [DATE] el saldo en mencion fue de [NUM] luego de una revision hacia abajo desde un rango de [NUM] a [NUM] a uno de [NUM] a [NUM] como promedio diario,4
2001-05,modificacion meta liquidez bancaria obedecio contexto turbulencia incertidumbre mercados financieros factores externos internos,la modificacion de la meta de liquidez bancaria obedecio al contexto de turbulencia e incertidumbre de los mercados financieros por factores externos e internos,5
2001-05,asimismo directorio banco central acordo mantener tasas interes comision aplicadas operaciones moneda nacional,asimismo el directorio del banco central acordo mantener las tasas de interes y comision aplicadas a sus operaciones en moneda nacional,6
2001-05,tasa implica reduccion respecto vigente consistente evolucion mostrado tasa interes internacional va anio,esta tasa implica una reduccion con respecto a la vigente desde el [DATE] [NUM] y es consistente con la evolucion que ha mostrado la tasa de interes internacional en lo que va del anio,7
2001-06,banco central nota informativa programa monetario banco central disminuye tasa interes referencia operaciones moneda nacional eleva meta liquidez bancaria,banco central nota informativa programa monetario [DATE] banco central disminuye la tasa de interes de referencia para sus operaciones en moneda nacional de [NUM] a [NUM] y eleva la meta de liquidez bancaria en [NUM],1
2001-06,revision proyecciones macroeconomicas elaborada evaluar marco macroeconomico multianual ministerio economia finanzas permite concluir cumplira objetivo inflacion acumulada ubique dentro rango anunciado programa monetario,la revision de las proyecciones macroeconomicas elaborada para evaluar el marco macroeconomico multianual del ministerio de economia y finanzas permite concluir que se cumplira con el objetivo de que la inflacion acumulada en el [NUM] se ubique dentro del rango anunciado en el programa monetario del [NUM] de [NUM] a [NUM],2
2001-06,ello mantiene meta intermedia incremento emision primaria promedio anunciada dicho programa,por ello se mantiene la meta intermedia de incremento de la emision primaria promedio de [NUM] a [NUM] anunciada en dicho programa,3
2001-06,previsiones consideran incrementos producto bruto interno real programa monetario producto bruto interno nominal programa monetario,estas previsiones consideran incrementos del producto bruto interno real de [NUM] en el programa monetario y del producto bruto interno nominal de [NUM] en el programa monetario,4
2001-06,estima ademas alcanzara meta operativa promedio diario liquidez disponible moneda nacional empresas bancarias anunciada anio rango habiendose alcanzado periodo saldo promedio,se estima ademas que se alcanzara la meta operativa del promedio diario de liquidez disponible en moneda nacional de las empresas bancarias anunciada para el anio en un rango de [NUM] a [NUM] habiendose alcanzado para el periodo de [DATE] a [DATE] un saldo promedio de [NUM],5
2001-06,directorio acordo elevar rango meta operativa respecto mes anterior ubicara promedio diario,para [DATE] el directorio acordo elevar en [NUM] el rango para su meta operativa con respecto al mes anterior el que se ubicara entre [NUM] y [NUM] como promedio diario,6
2001-06,asimismo directorio acordo operaciones moneda nacional realice banco aplicara siguientes tasas interes comision,asimismo el directorio acordo que para las operaciones en moneda nacional que realice el banco desde el [DATE] se aplicara las siguientes tasas de interes y comision,7
2001-06,creditos regulacion monetaria tasa interes efectiva sera mas alta promedio decil superior tasas interbancarias nivel,para los creditos de regulacion monetaria la tasa de interes efectiva sera la mas alta entre el promedio del decil superior de las tasas interbancarias y el nivel de [NUM],8
2001-06,tasa implica reduccion respecto vigente,esta tasa implica una reduccion con respecto a la vigente desde el [DATE] [NUM],9
2001-06,depositos overnight empresas bancarias tasa interes efectiva mantiene,para los depositos overnight de las empresas bancarias la tasa de interes efectiva se mantiene en [NUM],10
2001-06,costo efectivo inferior regia ultimo,este costo efectivo es inferior al que regia desde el [DATE] ultimo [NUM],11
2001-06,caso operaciones moneda extranjera aplicara siguientes tasas interesbanco central,en el caso de las operaciones en moneda extranjera se aplicara las siguientes tasas de interesbanco central a,12
2001-06,tasa implica reduccion respecto vigente ultimo consistente evolucion mostrado tasa interes internacional va anio,esta tasa implica una reduccion con respecto a la vigente desde el [DATE] ultimo [NUM] y es consistente con la evolucion que ha mostrado la tasa de interes internacional en lo que va del anio,13
2001-06,depositos overnight empresas bancarias equivalente promedio banco central obtiene exterior depositos misma naturaleza,para los depositos overnight de las empresas bancarias el equivalente al promedio que el banco central obtiene en el exterior por sus depositos de la misma naturaleza,14
2001-07,directorio acordo elevar rango meta operativa respecto mes anterior ubicara promedio diario linea mayor volumen transacciones efectua meses julio,para [DATE] el directorio acordo elevar en [NUM] el rango para su meta operativa con respecto al mes anterior el que se ubicara entre [NUM] y [NUM] como promedio diario en linea con el mayor volumen de transacciones que se efectua en los meses de julio,1
2001-07,creditos regulacion monetaria tasa interes efectiva sera mas alta promedio ponderado tasas interbancarias nivel,para los creditos de regulacion monetaria la tasa de interes efectiva sera la mas alta entre el promedio ponderado de las tasas interbancarias y el nivel de [NUM],2
2001-07,manera modifica determinacion costo financiero creditos anteriormente consideraba tasa mas alta promedio decil superior tasas interbancarias nivel tasa interes referencia operaciones,de esta manera se modifica la determinacion del costo financiero de estos creditos que anteriormente consideraba la tasa mas alta entre el promedio del decil superior de las tasas interbancarias y el nivel de la tasa de interes de referencia para estas operaciones,3
2001-07,medida favorecera disminucion variabilidad tasa interes interbancaria moneda nacional debido banco central proporcionara liquidez bancos soliciten creditos acuerdo condiciones promedio registren operaciones dia existan presiones alza tasa interes dicho mercado,esta medida favorecera la disminucion de la variabilidad de la tasa de interes interbancaria en moneda nacional debido a que el banco central proporcionara liquidez a los bancos que soliciten estos creditos de acuerdo a las condiciones que en promedio se registren durante las operaciones del dia cuando existan presiones al alza de la tasa de interes en dicho mercado,4
2001-07,cabe mencionar nuevo nivel tasa interes referencia creditos regulacion monetaria implica reduccion respecto vigente,cabe mencionar que el nuevo nivel de la tasa de interes de referencia para los creditos de regulacion monetaria [NUM] implica una reduccion con respecto a la vigente desde el [DATE] [NUM],5
2001-07,banco central otorgara creditos regulacion monetaria moneda nacional moneda extranjera manera regular,el banco central otorgara creditos de regulacion monetaria en moneda nacional y moneda extranjera de manera regular,6
2001-08,banco central nota informativa programa monetario banco central disminuye tasa interes referencia operaciones moneda nacional divisases,banco central nota informativa programa monetario [DATE] banco central disminuye la tasa de interes de referencia para sus operaciones en moneda nacional de [NUM] a [NUM] y en divisases de [NUM] a [NUM],1
2001-08,asimismo establece meta operativa liquidez bancaria rango,asimismo establece la meta operativa de liquidez bancaria en un rango de [NUM] a [NUM],2
2001-08,directorio aprobado rango meta operativa promedio diario,para [DATE] el directorio ha aprobado un rango para su meta operativa de [NUM] a [NUM] como promedio diario,3
2001-08,rango menor debido disminucion demanda saldos cuenta corriente observada dicho mes consecuencia flexibilizacion condiciones financieras creditos regulacion monetaria otorgados banco central,este rango es menor al de [DATE] de [NUM] a [NUM] debido a una disminucion de la demanda por saldos en cuenta corriente observada en dicho mes como consecuencia de la flexibilizacion de las condiciones financieras de los creditos por regulacion monetaria otorgados por el banco central,4
2001-08,ello saldo cuenta corriente empresas bancarias banco central monto inferior rango anunciado programa monetario dicho mes,por ello el saldo de la cuenta corriente de las empresas bancarias en el banco central fue [NUM] en [DATE] monto inferior al rango anunciado en el programa monetario de dicho mes,5
2001-08,cabe mencionar nuevo nivel tasa interes referencia creditos regulacion monetaria implica reduccion tercer mes consecutivo,cabe mencionar que el nuevo nivel de la tasa de interes de referencia para los creditos de regulacion monetaria implica una reduccion por tercer mes consecutivo,6
2001-08,caso operaciones divisases aplicara siguientes tasas interes,en el caso de las operaciones en divisases se aplicara las siguientes tasas de interes,7
2001-08,banco central otorgara manera regular creditos regulacion monetaria moneda nacional divisases,el banco central otorgara de manera regular creditos de regulacion monetaria en moneda nacional y en divisases,8
2001-08,acompania presente nota cuadro resumen decisiones politica monetaria ultimos meses,acompania a la presente nota un cuadro resumen de las decisiones de politica monetaria de los ultimos [NUM] meses,9
2001-08,lima banco central meta operativa cuenta corriente banca tasas interes referencia aprobadas directorio banco central ejecutado programa agosto,lima [DATE] banco central meta operativa para la cuenta corriente de la banca y tasas de interes de referencia aprobadas por el directorio del banco central [NUM] ejecutado programa [DATE] agosto,10
2001-08,tasa interbancaria total obligaciones sujetas encaje similar tasa banco central obtiene exterior depositos overnight,tasa interbancaria [NUM] total de obligaciones sujetas a encaje similar a la tasa que el banco central obtiene en el exterior por depositos overnight,11
2001-09,asimismo establece meta operativa liquidez bancaria rango,asimismo establece una meta operativa para la liquidez bancaria en un rango de [NUM] a [NUM],1
2001-09,saldo mencion ubicandose dentro rango anunciado dicho mes,en [DATE] el saldo en mencion fue de [NUM] ubicandose dentro del rango anunciado para dicho mes,2
2001-09,cabe mencionar nuevo nivel tasa interes referencia creditos regulacion monetaria implica reduccion cuarto mes consecutivo,cabe mencionar que el nuevo nivel de la tasa de interes de referencia para los creditos de regulacion monetaria implica una reduccion por cuarto mes consecutivo,3
2001-09,depositos overnight empresas bancarias tasa interes efectiva sera,para los depositos overnight de las empresas bancarias la tasa de interes efectiva sera de [NUM],4
2001-09,caso operaciones divisases aplicara siguientes tasasd interes,en el caso de las operaciones en divisases se aplicara las siguientes tasasd e interes,5
2001-09,lima banco central meta operativa cuenta corriente banca tasas interes referencia aprobadas directorio banco central programa setiembre,lima [NUM] de [DATE] banco central meta operativa para la cuenta corriente de la banca y tasas de interes de referencia aprobadas por el directorio del banco central [NUM] programa [DATE] setiembre,6
2001-10,directorio banco central acordo elevar meta operativa saldo cuenta corriente agregada banca rango promedio diario,para [DATE] el directorio del banco central acordo elevar la meta operativa del saldo de la cuenta corriente agregada de la banca al rango de [NUM] a [NUM] como promedio diario,1
2001-10,saldo mencion ubicandose dentro rango anunciado dicho mes,en [DATE] el saldo en mencion fue [NUM] ubicandose dentro del rango anunciado para dicho mes [NUM] y [NUM],2
2001-10,directorio acordo ademas operaciones moneda nacional realice banco aplicara siguientes tasas interes comision,el directorio acordo ademas que para las operaciones en moneda nacional que realice el banco desde el [DATE] se aplicara las siguientes tasas de interes y comision,3
2001-10,creditos regulacion monetaria compra temporal cdbanco central bonos tesoro subasta tasa interes efectiva sera mas alta promedio ponderado tasas interbancarias nivel,para los creditos de regulacion monetaria y la compra temporal de cdbanco central y de bonos del tesoro fuera de subasta la tasa de interes efectiva sera la mas alta entre el promedio ponderado de las tasas interbancarias y el nivel de [NUM],4
2001-10,operaciones compra temporal moneda extranjera swap comision implicara costo efectivo minimo,por las operaciones de compra temporal de moneda extranjera swap la comision implicara un costo efectivo minimo de [NUM],5
2001-10,operaciones moneda nacional aprobado nueva facilidad compra temporal cdbanco central bonos tesoro publico moneda nacional adicional mecanismos usuales subastas condiciones plazo tasas interes creditos regulacion monetaria,para las operaciones en moneda nacional se ha aprobado una nueva facilidad de compra temporal de cdbanco central y de bonos del tesoro publico en moneda nacional adicional a los mecanismos usuales de subastas en las condiciones de plazo y tasas de interes de los creditos por regulacion monetaria,6
2001-10,presente anio tasa inflacion viene ubicando debajo rango anunciado programa monetario reflejando parte nivel actividad economica menor contemplado originalmente,durante el presente anio la tasa de inflacion se viene ubicando por debajo del rango anunciado en el programa monetario para el [NUM] reflejando en parte un nivel de actividad economica menor al contemplado originalmente,7
2001-10,cabe agregar banco central reserva venido ampliando liquidez bancaria reduciendo tasas interes operaciones,cabe agregar que el banco central de reserva ha venido ampliando la liquidez bancaria y reduciendo las tasas de interes de sus operaciones,8
2001-10,lima banco central meta operativa cuenta corriente banca tasas interes referencia aprobadas directorio banco central programa octubre,lima [DATE] banco central meta operativa para la cuenta corriente de la banca y tasas de interes de referencia aprobadas por el directorio del banco central [NUM] programa [DATE] octubre,9
2001-10,creditos regulacion compra temporal cdbanco central bonos tesoro subasta,creditos de regulacion y compra temporal de cdbanco central y bonos del tesoro fuera de subasta a,10
2001-10,partir comision operaciones compra temporal moneda extranjera swap calculara diariamente tomando cuenta tasa interes internacional prevaleciente mantener estable costo efectivo anual,a partir de [DATE] la comision de las operaciones por compra temporal de moneda extranjera swap se calculara diariamente tomando en cuenta la tasa de interes internacional prevaleciente para mantener estable el costo efectivo anual,11
2001-11,directorio banco central acordo elevar meta operativa saldo agregado cuentas corrientes empresas bancarias rango promedio diario cierre mes,para [DATE] el directorio del banco central acordo elevar la meta operativa del saldo agregado de las cuentas corrientes de las empresas bancarias al rango de [NUM] a [NUM] como promedio diario al cierre del mes,1
2001-11,saldo mencion ubicandose dentro rango anunciado dicho mes s,en [DATE] el saldo en mencion fue [NUM] ubicandose dentro del rango anunciado para dicho mes [NUM] y s,2
2001-11,directorio acordo ademas operaciones moneda nacional realice l banco aplicara siguientes tasas interes comision,el directorio acordo ademas que para las operaciones en moneda nacional que realice e l banco desde el [DATE] se aplicara las siguientes tasas de interes y comision,3
2001-11,creditos regulacion monetaria compra temporal cdbanco central bonos tesoro subasta tasa interes efectiva anual sera mayor promedio ponderado tasas interbancarias,para los creditos de regulacion monetaria y la compra temporal de cdbanco central y de bonos del tesoro fuera de subasta la tasa de interes efectiva anual sera la mayor entre [NUM] y el promedio ponderado de las tasas interbancarias,4
2001-11,depositos overnight empresas bancarias tasa interes efectiva anual sera,para los depositos overnight de las empresas bancarias la tasa de interes efectiva anual sera [NUM],5
2001-11,operaciones compra temporal moneda extranjera swap comision implicara costo efectivo anual minimo,por las operaciones de compra temporal de moneda extranjera swap la comision implicara un costo efectivo anual minimo de [NUM],6
2001-11,banco central otorgara manera regular creditos regulacion monetaria divisas divisases,el banco central otorgara de manera regular creditos de regulacion monetaria en divisas y en divisases,7
2001-11,asimismo operaciones cambiarias banco central continuaran orientand atenuar volatilidad mercado cambiario,asimismo las operaciones cambiarias del banco central se continuaran orientand o a atenuar la volatilidad en el mercado cambiario,8
2001-11,lima banco central meta operativa cuenta corriente banca tasas interes referencia aprobadas directorio banco central programa noviembre,lima [DATE] banco central meta operativa para la cuenta corriente de la banca y tasas de interes de referencia aprobadas por el directorio del banco central [NUM] programa [DATE] noviembre,9
2001-11,partir comision operaciones compra temporal moneda extranjera swap calculara diariamente tomando cuenta tasa interes internacional prevaleciente mantener estable costo efectivo anual,a partir de [DATE] la comision en las operaciones de compra temporal de moneda extranjera swap se calculara diariamente tomando en cuenta la tasa de interes internacional prevaleciente para mantener estable el costo efectivo anual,10
2001-12,saldo mencion ubicandose ligeramente encima rango anunciado dicho mes debido mayor demanda liquidez traves compra temporal cdbanco central ultimo dia mes,en [DATE] el saldo en mencion fue [NUM] ubicandose ligeramente por encima del rango anunciado para dicho mes [NUM] y [NUM] debido a una mayor demanda por liquidez a traves de compra temporal de cdbanco central el ultimo dia del mes,1
2001-12,asimismo operaciones cambiarias banco central continuaran orientando atenuar volatilidad mercado cambiario,asimismo las operaciones cambiarias del banco central se continuaran orientando a atenuar la volatilidad en el mercado cambiario,2
2001-12,lima banco central meta operativa cuenta corriente banca tasas interes referencia aprobadas directorio banco central programa diciembre,lima [DATE] banco central meta operativa para la cuenta corriente de la banca y tasas de interes de referencia aprobadas por el directorio del banco central [NUM] programa [DATE] diciembre,3
2002-01,directorio banco central acordo elevar meta operativa saldo agregado cuentas corrientes empresas bancarias rango promedio diario cierre mes consistente mayor preferencia moneda nacional,para [DATE] el directorio del banco central acordo elevar la meta operativa del saldo agregado de las cuentas corrientes de las empresas bancarias al rango de [NUM] a [NUM] como promedio diario al cierre del mes consistente con una mayor preferencia por la moneda nacional,1
2002-01,saldo mencion encima limite superior rango anunciado dicho mes evito fluctuacion innecesaria tasa interes interbancari contexto elevada concentracion demanda oferta mercado interbancario,en [DATE] el saldo en mencion fue [NUM] por encima del limite superior del rango anunciado para dicho mes [NUM] y [NUM] con lo que se evito una fluctuacion innecesaria de la tasa de interes interbancari a en un contexto de elevada concentracion de demanda y oferta en el mercado interbancario,2
2002-01,directorio acordo ademas operaciones divisas realice banco aplicara siguientes tasas interes comision,el directorio acordo ademas que para las operaciones en divisas que realice el banco desde el [DATE] se aplicara las siguientes tasas de interes y comision,3
2002-01,creditos regulacion monetaria compra temporal cdbanco central bonos tesoro subasta tasa interes efectiva anual sera mayor promedio ponderado tasas interes interbancarias,para los creditos de regulacion monetaria y la compra temporal de cdbanco central y de bonos del tesoro fuera de subasta la tasa de interes efectiva anual sera la mayor entre [NUM] y el promedio ponderado de las tasas de interes interbancarias,4
2002-01,depositos overnight empresas bancarias tasa interes efectiva anual mantiene,para los depositos overnight de las empresas bancarias la tasa de interes efectiva anual se mantiene en [NUM],5
2002-01,lima banco central meta operativa cuenta corriente banca tasas interes referencia aprobadas directorio banco central programa ,lima [DATE] banco central meta operativa para la cuenta corriente de la banca y tasas de interes de referencia aprobadas por el directorio del banco central [NUM] programa [DATE] ,6
2002-01,partir comision operaciones compra temporal moneda extranjersaw ap calculara diariamente tomando cuenta tasa interes internacional prevaleciente mantener estable costo efectivo anual,a partir de [DATE] la comision en las operaciones de compra temporal de moneda extranjersaw ap se calculara diariamente tomando en cuenta la tasa de interes internacional prevaleciente para mantener estable el costo efectivo anual,7
2002-02,alcanzar meta inflacion anio desvio maximo punto porcentual hacia arriba hacia abajo politica monetaria contribuyo tasa interes interbancaria ubique promedio primer mes anio,para alcanzar la meta de inflacion a [DATE] de este anio de [NUM] con un desvio maximo de un punto porcentual hacia arriba y hacia abajo la politica monetaria contribuyo para que la tasa de interes interbancaria se ubique en [NUM] como promedio durante el primer mes del anio,1
2002-02,ello meta operativa saldo promedio diario cuenta corriente banca banco central rango registrandose saldo promedio,para ello la meta operativa del saldo promedio diario de la cuenta corriente de la banca en el banco central fue un rango de [NUM] a [NUM] registrandose un saldo promedio de [NUM],2
2002-02,saldo menor debido observa menor requerimiento liquidez respecto ultimo mes anio,este saldo fue menor al de [DATE] [NUM] debido a que en [DATE] se observa un menor requerimiento de liquidez con respecto al ultimo mes del anio,3
2002-02,mantener meta operativa saldo agregado cuentas corrientes empresas bancarias rango promedio diario cierre mes,mantener la meta operativa del saldo agregado de las cuentas corrientes de las empresas bancarias en el rango de [NUM] a [NUM] como promedio diario al cierre del mes,4
2002-02,depositos overnight empresas bancarias tasa interes efectiva anual reduce,para los depositos overnight de las empresas bancarias la tasa de interes efectiva anual se reduce a [NUM],5
2002-02,operaciones compra temporal moneda extranjera swap comision implicara costo efectivo anual min imo,por las operaciones de compra temporal de moneda extranjera swap la comision implicara un costo efectivo anual min imo de [NUM],6
2002-02,caso operaciones divisases plica siguientes tasas interes,en el caso de las operaciones en divisases se a plica las siguientes tasas de interes,7
2002-02,asimismo operaciones cambia rias banco central limitaran atenuar volatilidad mercado cambiario,asimismo las operaciones cambia rias del banco central se limitaran a atenuar la volatilidad en el mercado cambiario,8
